IP Address,Sent,Received,Loss Rate,Average Delay,Download Speed (MB/s)
104.129.166.131,4,4,0.00,19.10,37.57
198.13.33.61,4,4,0.00,121.60,34.32
64.176.36.17,4,4,0.00,126.15,33.62
45.32.51.156,4,4,0.00,119.32,33.01
43.170.8.95,4,4,0.00,119.51,31.65
209.33.160.242,4,4,0.00,177.71,31.39
8.222.193.153,4,4,0.00,187.97,29.97
8.222.185.236,4,4,0.00,188.61,29.38
104.129.167.255,4,4,0.00,18.53,29.19
8.219.195.31,4,4,0.00,183.44,29.16
103.219.194.43,4,4,0.00,177.76,28.41
8.219.155.125,4,4,0.00,187.58,27.70
103.219.193.123,4,4,0.00,178.12,27.43
8.211.167.113,4,4,0.00,125.12,27.37
43.168.16.112,4,4,0.00,185.08,27.27
47.239.4.246,4,4,0.00,161.62,26.05
149.28.159.222,4,2,0.50,182.00,25.22
219.76.13.177,4,4,0.00,163.53,19.36
104.43.91.69,4,4,0.00,181.35,19.22
143.198.211.180,4,4,0.00,182.71,19.19
206.189.157.20,4,4,0.00,186.88,18.52
43.134.174.114,4,4,0.00,186.54,18.46
43.156.181.203,4,4,0.00,185.64,18.16
178.128.62.86,4,4,0.00,185.24,17.90
219.76.13.180,4,4,0.00,161.24,17.78
45.149.92.150,4,4,0.00,160.48,17.66
159.89.207.154,4,4,0.00,185.98,17.54
157.230.244.86,4,4,0.00,185.98,17.41
164.52.2.99,4,4,0.00,186.09,17.37
163.5.58.77,4,4,0.00,166.34,17.33
143.20.204.5,4,4,0.00,160.64,17.31
168.138.189.91,4,4,0.00,187.45,17.17
178.128.86.3,4,4,0.00,181.82,17.16
219.76.13.166,4,4,0.00,161.61,17.11
23.156.153.57,4,4,0.00,160.79,17.00
128.199.255.242,4,4,0.00,184.67,17.00
167.172.87.155,4,4,0.00,192.63,16.88
43.160.195.223,4,4,0.00,185.04,16.62
164.52.2.100,4,4,0.00,182.42,16.48
164.52.2.98,4,4,0.00,186.41,16.35
109.121.39.70,4,4,0.00,183.98,16.29
161.118.213.45,4,4,0.00,186.61,15.95
47.82.155.79,4,4,0.00,185.91,15.61
43.154.131.189,4,4,0.00,161.24,13.71
43.156.116.194,4,4,0.00,186.96,13.26
176.98.181.71,4,4,0.00,167.22,13.11
160.16.62.84,4,4,0.00,118.87,11.96
150.109.11.223,4,4,0.00,185.37,11.29
153.121.32.71,4,4,0.00,120.30,10.85
153.121.45.101,4,4,0.00,122.76,10.73
160.16.57.18,4,4,0.00,121.60,10.68
160.16.59.9,4,4,0.00,121.87,9.25
156.239.245.134,4,4,0.00,160.99,9.10
134.185.93.231,4,4,0.00,185.54,8.57
150.230.5.126,4,4,0.00,128.13,6.79
138.2.31.37,4,4,0.00,121.88,6.67
138.2.64.229,4,2,0.50,182.94,6.51
188.239.9.91,4,4,0.00,187.78,6.16
161.33.46.100,4,4,0.00,129.21,5.95
140.83.86.166,4,4,0.00,127.88,5.90
124.156.202.172,4,4,0.00,183.04,5.74
138.3.220.224,4,4,0.00,122.44,5.62
158.178.229.178,4,4,0.00,186.25,5.44
217.142.254.144,4,3,0.25,126.77,5.40
219.76.13.169,4,4,0.00,161.24,5.31
155.248.181.189,4,4,0.00,119.23,5.13
141.147.185.63,4,4,0.00,120.71,5.03
159.138.138.87,4,4,0.00,163.00,4.68
138.2.62.8,4,4,0.00,127.87,4.10
161.33.190.243,4,4,0.00,121.93,3.71
64.110.104.30,4,4,0.00,127.80,3.48
2.56.91.167,4,4,0.00,166.44,2.41
8.210.29.68,4,4,0.00,161.67,2.07
64.90.12.218,4,4,0.00,160.48,1.97
140.238.50.134,4,4,0.00,123.56,1.51
154.38.116.8,4,4,0.00,230.45,1.14
151.241.128.175,4,4,0.00,137.19,0.97
45.197.12.118,4,4,0.00,195.83,0.79
89.125.244.207,4,4,0.00,134.44,0.79
89.125.244.195,4,4,0.00,136.14,0.68
103.192.179.132,4,4,0.00,178.76,0.65
23.141.52.169,4,4,0.00,169.52,0.61
139.162.23.48,4,4,0.00,182.15,0.59
172.104.53.25,4,4,0.00,181.75,0.57
47.76.218.163,4,4,0.00,161.05,0.54
149.28.21.106,4,4,0.00,121.88,0.49
154.16.183.190,4,4,0.00,161.42,0.44
165.154.20.213,4,4,0.00,162.52,0.41
219.76.13.167,4,4,0.00,161.05,0.34
219.76.13.183,4,4,0.00,160.01,0.33
47.57.181.17,4,4,0.00,162.15,0.25
38.190.210.250,4,4,0.00,189.95,0.24
206.237.17.52,4,4,0.00,504.82,0.04
151.242.125.226,4,4,0.00,160.81,0.04
172.235.211.171,4,4,0.00,128.29,0.02
47.79.94.192,4,4,0.00,121.54,0.01
141.11.90.246,4,4,0.00,161.54,0.01
8.222.139.227,4,4,0.00,187.22,0.00
193.123.163.240,4,4,0.00,119.07,0.00
38.76.174.186,4,4,0.00,191.60,0.00
8.222.188.61,4,4,0.00,191.61,0.00
47.79.94.145,4,4,0.00,121.26,0.00
150.230.97.14,4,4,0.00,119.84,0.00
4.194.113.191,4,4,0.00,186.75,0.00
47.236.119.109,4,4,0.00,186.67,0.00
141.147.160.166,4,4,0.00,121.77,0.00
219.76.13.181,4,3,0.25,161.51,0.00
150.230.63.93,4,4,0.00,127.37,0.00
8.222.169.19,4,4,0.00,182.81,0.00
